% Model,gmshNewMeshX10Dif.mph
% Version,COMSOL 5.5.0.359
% Date,"Aug 12 2024, 20:25"
% Dimension,3
% Nodes,1730
% Expressions,1
% Description,Dependent variable
% Length unit,m
% x,y,z,Tcell (kg/m^3) @ t=0
0.001002,8.95E-4,0.002682,200
0.002805,3.36E-4,0.001008,246.15384615384613
0.002898,-7.1E-19,7.76E-4,199.99999999999997
0.002772,-6.8E-19,0.001148,199.99999999999997
0.002799,6.11E-4,8.9E-4,257.1428571428571
0.002822,9.64E-4,3.3E-4,199.99999999999994
0.002898,7.76E-4,0,199.99999999999997
0.002973,2.86E-4,2.86E-4,183.3333333333333
0.002974,-7.3E-19,3.92E-4,199.99999999999997
0.002974,3.92E-4,0,199.99999999999997
0.002913,3.71E-4,6.12E-4,163.63636363636363
0.00283,7.67E-4,6.35E-4,218.18181818181816
0.002923,5.97E-4,3.11E-4,200
0.00238,-5.8E-19,0.001826,199.99999999999997
0.002598,-6.4E-19,0.0015,199.99999999999997
0.002477,3.22E-4,0.001661,200
0.002246,3.21E-4,0.001963,200
0.001978,3.06E-4,0.002234,222.22222222222217
0.002121,-5.2E-19,0.002121,160
0.001826,-4.5E-19,0.00238,199.99999999999997
0.002661,3.4E-4,0.001344,166.66666666666663
0.002454,6.91E-4,0.001582,216.66666666666663
0.002693,8.98E-4,9.7E-4,200
0.002264,9.66E-4,7.85E-4,399.99999999999994
0.002513,9.72E-4,0.001319,200
0.00207,9.76E-4,0.001187,399.99999999999994
0.002661,6.58E-4,0.00122,149.99999999999997
0,0.002017,0.001767,400
0,0.001912,0.00147,399.9999999999999
4.25E-4,0.001837,0.001754,399.9999999999999
5.23E-4,0.00202,0.001341,399.99999999999994
3.31E-4,0.002479,0.001657,215.38461538461536
0,0.00238,0.001826,199.99999999999997
6.41E-4,0.002543,0.001456,181.8181818181818
0.001021,0.001244,0.002532,199.99999999999997
6.95E-4,0.001139,0.002687,171.4285714285714
0.001744,0.001833,4.35E-4,399.9999999999999
0.001767,0.002017,0,400
9.71E-4,0.002381,0.001546,222.22222222222217
9.78E-4,0.002026,0.001245,399.9999999999999
9.6E-4,0.002825,3.1E-4,218.18181818181816
0.001148,0.002772,0,199.99999999999997
7.76E-4,0.002898,0,199.99999999999997
5.88E-4,0.002926,3.05E-4,218.18181818181816
7.41E-4,0.002847,5.87E-4,181.8181818181818
9.17E-4,0.002582,0.001223,218.18181818181816
6.05E-4,0.00272,0.00111,160
9.17E-4,0.002258,8.59E-4,399.99999999999994
0.001314,0.002676,3.33E-4,166.66666666666663
0.0015,0.002598,0,199.99999999999997
8.5E-4,0.002735,8.91E-4,218.18181818181816
0.001091,0.002723,6.27E-4,200
0.001433,0.002548,6.73E-4,200
0.002541,0.00123,0.001014,160
0.002333,0.00132,0.001347,239.99999999999997
0.001507,0.002392,0.001004,218.18181818181816
0.001172,0.002591,9.57E-4,160
0.001244,0.002405,0.001292,200
0.001506,0.001873,9.19E-4,399.99999999999994
0.002598,0.0015,0,199.99999999999997
0.002673,0.001318,3.4E-4,200
0.002704,0.001114,6.69E-4,160
0.002475,0.001659,3.48E-4,166.66666666666663
0.00238,0.001826,0,199.99999999999997
0.00253,0.001459,6.87E-4,200
0.00234,0.001568,0.001033,218.18181818181816
0.001917,0.001487,9.61E-4,399.99999999999994
0.002306,0.001787,7.0E-4,200
0.002232,0.001972,3.59E-4,215.38461538461536
0.002121,0.002121,0,199.99999999999997
0.001643,0.002487,3.43E-4,184.61538461538458
0.001826,0.00238,0,199.99999999999997
0.001952,0.00225,3.55E-4,200
0.001748,0.002339,6.9E-4,222.22222222222217
3.4E-4,0.001318,0.002673,199.99999999999994
0,0.0015,0.002598,199.99999999999997
9.89E-4,0.001547,0.002372,199.99999999999994
0.001111,0.001058,0.002036,399.99999999999994
6.86E-4,0.001494,0.002509,145.45454545454544
9.65E-4,0.001468,0.001948,399.9999999999999
6.71E-4,0.001778,0.002321,222.22222222222217
3.33E-4,0.001662,0.002475,177.77777777777774
0,0.001826,0.00238,199.99999999999997
3.4E-4,0.001965,0.002241,184.61538461538458
0,0.002121,0.002121,199.99999999999997
3.4E-4,0.002244,0.001962,200
6.76E-4,0.002067,0.002067,200
6.7E-4,0.002326,0.001772,177.77777777777774
0.002209,8.03E-4,0.001865,199.99999999999997
0.001858,0.001014,0.001544,399.99999999999994
0.002332,5.42E-4,0.001808,142.85714285714283
0.002091,5.65E-4,0.002076,171.4285714285714
0.001518,0.001499,0.001506,399.99999999999994
0.001611,0.001659,0.001911,177.77777777777774
0.001225,0.001254,0.001677,399.99999999999994
0.001853,0.001397,0.001901,266.66666666666663
0.001658,3.07E-4,0.002481,171.4285714285714
0.001775,5.8E-4,0.002348,215.38461538461536
0.001918,8.25E-4,0.002154,181.8181818181818
0.001482,9.43E-4,0.001865,399.9999999999999
6.87E-4,7.49E-4,0.002823,166.66666666666663
0.001594,0.00101,0.002332,169.2307692307692
0.001802,0.001116,0.002123,200
0.001296,9.88E-4,0.002519,218.18181818181816
0.001595,0.001362,0.002145,181.8181818181818
0.001311,0.001618,0.00216,222.22222222222217
0.001295,0.0013,0.002374,177.77777777777774
0.002102,0.001373,0.001642,166.66666666666663
0.001689,0.001233,0.001232,399.99999999999994
0.002293,0.001052,0.001624,160
0.001875,0.001677,0.001635,160
0.001601,0.001939,0.001636,200
0.002023,0.001117,0.001913,177.77777777777774
0.00107,0.001773,0.001578,399.9999999999999
0.00129,0.002177,0.001611,181.8181818181818
0.001267,0.001662,0.001213,399.9999999999999
0.001313,0.001913,0.001901,218.18181818181816
0.001001,0.001858,0.002132,160
9.97E-4,0.00214,0.001852,200
0.002042,0.002082,7.04E-4,181.8181818181818
0.00186,0.001931,0.001347,218.18181818181816
0.001566,0.002184,0.001332,200
0.002122,0.001638,0.001346,200
0.001817,0.002153,0.001032,133.33333333333331
0.002096,0.001877,0.00104,177.77777777777774
6.94E-4,6.94E-4,6.95E-4,399.99999999999994
7.79E-4,8.53E-4,0.001083,399.9999999999999
0.001066,8.09E-4,8.17E-4,400
8.14E-4,8.21E-4,0.001845,399.9999999999999
8.56E-4,0.001094,0.001487,399.99999999999994
7.11E-4,0.001544,0.00154,400
8.82E-4,0.001481,0.001094,399.99999999999994
0.001182,8.35E-4,0.001429,399.99999999999994
0.001091,0.001092,0.001109,399.9999999999999
0.001471,0.001081,8.71E-4,399.99999999999994
0.001833,8.21E-4,8.21E-4,399.99999999999994
8.21E-4,0.001839,8.43E-4,399.9999999999999
0.001194,0.001389,8.51E-4,400
0,0.003269,6.5E-4,0
0,0.003301,3.16E-4,0
3.16E-4,0.003301,0,0
0,0.003415,0,0
4.06E-4,0.003658,0,0
0,0.003651,4.13E-4,0
0,0.003894,0,0
0,0.002965,0.001458,0
0.001448,0,0.002961,0
0,0,0.003894,0
0,0,0.003415,0
0,4.06E-4,0.003658,0
4.21E-4,0,0.003651,0
0,6.54E-4,0.003271,0
3.16E-4,0,0.003301,0
0,3.16E-4,0.003301,0
6.5E-4,0,0.003269,0
0,0.001082,0.003163,0
0.00316,0,0.00108,0
0.003269,6.5E-4,0,0
0.003271,0,6.54E-4,0
0.003301,0,3.16E-4,0
0.003301,3.16E-4,0,0
0.003415,0,0,0
0.003894,0,0,0
0.003658,0,4.06E-4,0
0.003651,4.13E-4,0,0
0.003219,0.00115,0,0
0.00277,0,0.001853,0
0.002512,0,0.002198,0
0.003004,0,0.001493,0
0,0.002876,0.001842,0
4.47E-4,0.004171,0,0
0,0.004194,4.41E-4,0
0,0.004448,0,0
4.33E-4,0.003244,8.87E-4,0
0,0.003219,0.00115,0
0,0.003557,9.53E-4,0
0,0.003966,8.72E-4,0
4.97E-4,0.003408,4.76E-4,0
6.54E-4,0.003271,0,0
0.00108,0.00316,0,0
8.33E-4,0.003988,0,0
9.61E-4,0.003581,0,0
6.15E-4,0.003044,0.001495,0
0,0.003275,0.001599,0
0.001493,0.003004,0,0
8.33E-4,0.003147,8.56E-4,0
0.002965,0.001458,0,0
0.002876,0.001842,0,0
0.001853,0.00277,0,0
0.002506,0.002198,0,0
0.002198,0.002512,0,0
0,0.001491,0.002998,0
0,0.001849,0.002771,0
0,0.00251,0.002221,0
0,0.002187,0.002524,0
0.002198,0,0.002506,0
0.00184,0,0.002876,0
0.001367,4.77E-4,0.003175,0
0.001143,0,0.003221,0
0.001596,0,0.003275,0
0,4.47E-4,0.004171,0
4.45E-4,0,0.004196,0
0,0,0.004448,0
4.95E-4,0,0.004768,0
0,5.34E-4,0.004789,0
0,0,0.005088,0
0.001548,9.16E-4,0.002937,0
6.39E-4,7.3E-4,0.003506,0
8.91E-4,0,0.003974,0
9.07E-4,0,0.003566,0
0,8.36E-4,0.003997,0
0,9.63E-4,0.003586,0
5.72E-4,0.001378,0.003241,0
0,0.001469,0.003453,0
0,0.001923,0.003209,0
0.001048,0.001261,0.003056,0
0,0.001325,0.003978,0
0.00329,5.64E-4,0.001132,0
0.003581,0,9.61E-4,0
0.003445,0,0.001465,0
0.003192,0.001097,6.22E-4,0
0.003557,9.53E-4,0,0
0.003275,0.001599,0,0
0.002786,0.001605,0.001024,0
0.003499,7.0E-4,6.43E-4,0
0.003974,0,0.001323,0
0.004171,0,4.47E-4,0
0.004194,4.41E-4,0,0
0.004448,0,0,0
0.004789,0,5.34E-4,0
0.003988,0,8.33E-4,0
0.003966,8.72E-4,0,0
0.005088,0,0,0
0.004768,4.95E-4,0,0
0.003713,0.00143,0,0
0,0.004768,4.95E-4,0
5.34E-4,0.004789,0,0
0,0.005088,0,0
0,0.005451,6.06E-4,0
0.002825,5.09E-4,0.002035,0
0.003201,0,0.001926,0
0.002893,0,0.00223,0
0.002412,4.21E-4,0.002399,0
0.002723,0,0.002657,0
0.002265,0,0.002923,0
0.003198,6.49E-4,0.001666,0
0.00282,0.001323,0.001692,0
0.003112,0.001265,0.001177,0
0.003845,0,0.002019,0
0,0.003427,0.002038,0
0.001179,0.002784,0.001533,0
0.001015,0.002623,0.001982,0
6.69E-4,0.002984,0.001991,0
0,0.002927,0.002267,0
0,0.003202,0.002584,0
7.93E-4,0.004201,8.01E-4,0
0,0.00435,0.001349,0
0,0.003713,0.00143,0
0,0.00444,8.61E-4,0
9.97E-4,0.004409,0,0
0.001323,0.003974,0,0
7.35E-4,0.003487,0.001221,0
0.001397,0.001742,0.002694,0
8.94E-4,0.002166,0.002475,0
0.001127,0.003389,6.24E-4,0
0.001465,0.003445,0,0
0.001734,0.003035,5.36E-4,0
0.001926,0.003201,0,0
0.00223,0.002893,0,0
0.00115,0.003099,0.001208,0
0.001397,0.00295,8.45E-4,0
0.001784,0.002751,9.02E-4,0
0.002579,0.001712,0.001407,0
0.001683,0.002378,0.001729,0
0.001679,0.002714,0.001412,0
0.002081,0.002165,0.001798,0
0.001621,0.001986,0.002285,0
0.003206,0.001584,6.84E-4,0
0.003427,0.002038,0,0
0.002769,0.002131,5.58E-4,0
0.002923,0.002265,0,0
0.002617,0.002036,0.001072,0
0.002326,0.002706,7.05E-4,0
0.002657,0.002723,0,0
0.002483,0.003315,0,0
0.003202,0.002584,0,0
6.68E-4,0.002014,0.002986,0
0,0.002224,0.002906,0
5.33E-4,0.002473,0.002469,0
0,0.002023,0.003843,0
0,0.002678,0.002712,0
0,0.002482,0.003315,0
0.002471,9.15E-4,0.00241,0
0.002036,0.001502,0.002371,0
0.002035,7.23E-4,0.00306,0
0.001311,8.7E-4,0.003525,0
