% Model,AdvancedModel.mph
% Version,COMSOL 5.5.0.359
% Date,"May 26 2024, 19:00"
% Dimension,3
% Nodes,733
% Expressions,3
% Description,Dependent variable
% Length unit,m
% x,y,z,Tcell (kg/m^3) @ t=0,Tcell (kg/m^3) @ t=0.01,Tcell (kg/m^3) @ t=0.02
6.165061913747775E-4,0,0,2.869390820487719E-10,2.1394730491772584E-4,5.006604367959378E-4
5.623696638462389E-4,0,1.822812033225689E-4,1.0217051401639988E-8,0.0015287208956778066,0.0021053528054719058
5.346535748245309E-4,0,3.061552848273706E-4,-6.787448676507961E-10,1.9723370982152377E-4,4.186431811067483E-4
5.705057454800722E-4,1.1975724768634507E-4,8.650236821259082E-5,2.4307382253264113E-9,6.387016457889004E-4,0.0012263627197492244
5.623498241865433E-4,1.7128652441684893E-4,0,5.379877078538469E-9,7.046572960640475E-4,9.95002503792376E-4
6.757495471165315E-4,1.2016241864588568E-4,0,-1.0649640445221757E-9,-2.2388769856686292E-4,-3.974255878838393E-4
3.521060225350988E-4,4.2319649414814567E-4,1.2491309259017317E-4,6.443330540660363E-9,9.680443479161736E-4,0.0014800311316810033
4.3388034242415586E-4,3.664104991582654E-4,0,7.285548429928526E-9,8.440426924455787E-4,0.0012026751167279121
9.261332550641798E-5,5.660780536536701E-4,0,4.22537638364238E-9,8.73242365449708E-4,0.0014728375592885762
0,6.159894573552555E-4,0,1.2108002985390785E-10,7.931213571336297E-5,2.3449444925213047E-4
1.9489560956029365E-4,5.667301197681416E-4,0,4.463524225970113E-9,5.367338007160793E-4,5.139558481221707E-4
3.4909465395882897E-4,3.333210151653656E-4,2.566120162756052E-4,1.297666481175348E-8,0.002170082563052931,0.003620411675474285
2.727117990787136E-4,1.2106250196062386E-4,5.030962856732283E-4,8.387652801790345E-9,7.837474469592555E-4,8.522444633371961E-4
2.815258885790631E-4,0,5.2309468461062E-4,-8.94057177955938E-10,4.906760765087521E-4,0.0011533007562100034
3.847003690630184E-4,0,4.786841287044723E-4,3.30456680669878E-9,7.323372479362677E-4,0.0013091858143154688
0,9.390126804859576E-5,5.670835999932459E-4,4.27667493409649E-9,7.845203831703286E-4,0.0012005531710653024
0,0,6.159894573482156E-4,2.402493282385066E-9,4.275688531167918E-4,7.975318020775271E-4
0,3.020028551111128E-4,5.30727049112077E-4,4.724709694586369E-9,8.49503987866467E-4,0.0013578937585000679
0,1.954152525165742E-4,5.667743827179234E-4,6.57269919968978E-9,7.67159351124037E-4,8.56156994642204E-4
1.5317988965486148E-4,1.873408238549506E-4,6.045449829375209E-4,1.8661414919211623E-9,4.8166824664630856E-4,0.0010044468698728244
1.2916270975547414E-4,0,6.578385621012372E-4,-1.4840622661002201E-9,-2.8565389333743573E-4,-5.027291512874986E-4
2.4655748754646463E-4,0,6.316861704727224E-4,-2.031882904282522E-9,-3.160505922562661E-4,-5.04095359772445E-4
1.988743859182791E-4,4.7530321266948684E-4,2.6602082202526806E-4,7.154142799138564E-9,8.200895938110376E-4,0.0011060814923296006
0,3.9274287333086993E-4,4.5647152568601177E-4,2.1404371390272904E-9,4.503411079652021E-4,7.310411723813255E-4
0,4.3615710850138567E-4,3.5263570339748215E-4,1.0480149911804822E-8,0.0012864388800864811,0.0015478208419314025
1.170167654671673E-4,5.086555012867348E-4,2.0575275910710507E-4,5.316849430799859E-9,8.873009672481855E-4,0.0014500987915188278
0,5.251375868854523E-4,2.933642482609603E-4,1.505400012003189E-9,4.1390978763317224E-4,8.462482297608337E-4
0,5.62479724775148E-4,1.71037012594276E-4,4.131352418720834E-9,6.662293128919889E-4,0.0010507454900289081
3.119980439801388E-4,3.7538191081589454E-4,3.4266828011603043E-4,3.311965301591378E-9,5.729440271672532E-4,9.760505758533417E-4
1.4618342259156467E-4,3.1522920357464145E-4,4.50961169996465E-4,5.352567544230319E-9,7.068630900032353E-4,0.0011125810667970604
1.9560024068025444E-4,4.32439173724242E-4,3.710719176626186E-4,4.609826153073025E-9,8.370869596091506E-4,0.001398193418226324
2.638977095642296E-4,2.4212500392142432E-4,4.8309788672287724E-4,2.836477376362047E-9,6.055464336868635E-4,0.0010928962336029927
2.1206792781492661E-4,2.9872933753137147E-4,3.9778284784105816E-4,7.516325620579622E-9,0.0010186748044263287,0.001484517745204646
4.0070797678808394E-4,1.3016960860078993E-4,4.4979979682481123E-4,2.462403400424469E-9,4.61753506824719E-4,7.912275882729492E-4
4.63114090566417E-4,0,4.0182189105983753E-4,4.57053829545665E-9,4.780059058469812E-4,6.624476066276772E-4
5.025968511157676E-4,2.3083886526074194E-4,1.280223998203045E-4,3.5242715330802674E-9,5.594483587109592E-4,8.5057255625877E-4
5.256694711887775E-4,2.9424973791667997E-4,0,1.5394517355683786E-9,8.295850294302204E-5,3.540561344227462E-5
4.6700811636086315E-4,3.272367843802163E-4,1.0656723707546489E-4,3.0350706930777566E-9,8.779497995896552E-4,0.0016154027200299926
4.0811006010163406E-4,3.823399293449038E-4,1.8305978025778876E-4,3.3942314576032765E-9,3.9094323442919317E-4,6.08565813227106E-4
3.0947957525039846E-4,5.231153697279204E-4,0,3.7706306113701815E-9,4.34544540246179E-4,5.615530974543805E-4
3.9462091103746345E-4,4.6521186309733345E-4,0,2.163067468591692E-9,2.6350872909605846E-4,4.4313123202573807E-4
1.7936382391662306E-4,5.679085369302222E-4,1.5346293128667559E-4,3.4014433340509766E-10,1.0055134516718399E-4,2.0127582756841443E-4
3.7724833662466256E-4,5.462672454973313E-4,1.9111278865465995E-4,-1.5159048363117042E-9,-2.3214305706347708E-4,-3.77707927358187E-4
0,6.752451659327264E-4,1.1991354339751245E-4,-1.0197246970545107E-9,-1.99199486517106E-4,-3.370948896347289E-4
4.336114310969982E-4,3.24400805997346E-4,2.834464448119361E-4,1.0839091293595801E-9,1.9935785790103623E-4,3.548327990893391E-4
5.471716160825036E-4,1.56709455743583E-4,2.1317136582730658E-4,1.2941611594972618E-9,2.1706529156889252E-4,3.508419373128424E-4
4.766303550521694E-4,1.5411898421729953E-4,3.5346250668442047E-4,5.94485086422992E-10,1.9363862824291095E-4,3.483691024741261E-4
6.698545430057152E-4,0,1.281770324867115E-4,-8.261157662396978E-10,-1.5747579057044734E-4,-2.538352147822227E-4
7.7380510642072E-4,0,0,2.3073869403169532E-10,3.8745346860282605E-5,5.8034126705940716E-5
6.934942401598296E-4,0,3.108743239328123E-4,-4.782846008167014E-10,-9.797255646504412E-5,-1.5362225752349454E-4
6.278849415727763E-4,0,4.4097321749497016E-4,-2.2674988251255832E-10,-4.5209206229929496E-5,-7.533362050159843E-5
7.152726599004972E-4,1.9899528629543028E-4,1.5826157095319242E-4,-1.2541496582112557E-10,-2.6448654192056417E-5,-4.988713028496946E-5
6.771778465617476E-4,2.9694134865538815E-4,0,-8.193342051227094E-10,-1.2903096576663708E-4,-1.9924632711647929E-4
8.701150457607542E-4,2.048217228929946E-4,0,2.3939912298211973E-10,4.632979164897219E-5,7.868662639056082E-5
5.547841019263205E-4,4.612641926441671E-4,0,-1.2794171331939368E-9,-1.774854614588719E-4,-2.786774467823588E-4
1.595367886247471E-4,7.287931058818893E-4,0,-3.390769015563984E-10,-6.563239261569307E-5,-1.0628009156849784E-4
0,7.726364890555243E-4,0,2.3888796860751474E-10,4.121648813536405E-5,6.040059770590754E-5
2.9311171751502437E-4,6.342084619849406E-4,0,-3.300400209218779E-10,-4.091553665351115E-5,-4.61806526927143E-5
4.037408028780891E-4,2.877958454749482E-4,4.259947339566705E-4,1.7658586050973735E-9,3.2739277689621096E-4,5.743607184983489E-4
3.889866987472986E-4,0,6.385757172527314E-4,-8.145932554140378E-10,-1.1441110296308986E-4,-1.651834982925645E-4
3.4150451819823857E-4,2.1071711089692613E-4,5.614430693071427E-4,-9.628056624697363E-10,-1.527009976483307E-4,-2.539056978408439E-4
5.184451006798981E-4,0,5.422853764015799E-4,-4.92892045891239E-10,-7.583229064965297E-5,-1.2516926281814654E-4
9.109773440552986E-5,4.897675147859452E-4,3.9887816105880336E-4,1.667798765219633E-9,2.8381338814563917E-4,5.189190106445539E-4
1.473858008429619E-4,3.623813933226173E-4,5.695257479953993E-4,-1.0463338293481347E-9,-1.87061541866588E-4,-3.2456840664184906E-4
0,0,7.726364890508556E-4,2.696770251766642E-10,5.036936919988045E-5,8.138882360170139E-5
0,1.5678111177087542E-4,7.329639968871088E-4,-7.213168268866665E-10,-1.2551869727623236E-4,-2.05060907873608E-4
0,4.606260321988711E-4,5.911300051837978E-4,-2.3230432591722775E-10,-4.4520030633466745E-5,-7.456266102338185E-5
0,2.9605555413882314E-4,6.38416161210659E-4,-8.416502685995946E-10,-1.4900436770304737E-4,-2.469309880831238E-4
1.883874115924897E-4,2.0676988324623574E-4,7.062470436209159E-4,3.705332586685942E-10,5.35343059260765E-5,7.789178604093836E-5
2.6065582255563894E-4,0,8.226290511569111E-4,1.6566378363728204E-10,2.892366895783238E-5,4.869439437094615E-5
0,5.59359507367739E-4,4.553202061769712E-4,-3.735770045389397E-10,-6.464684592008291E-5,-1.0887439027696339E-4
1.8219546881336005E-4,5.867921562408426E-4,3.4128479643854144E-4,-5.384773776382843E-10,-8.603812566924085E-5,-1.429391050653247E-4
0,6.713518422577379E-4,2.95325475915995E-4,-4.389040105284479E-10,-8.529496138304446E-5,-1.5028021720000988E-4
0,8.61418475796262E-4,2.0379479907503957E-4,1.3354270115409621E-10,2.8635254835606423E-5,5.046636657380109E-5
5.682291383064992E-4,2.004253207154723E-4,4.6595718603324753E-4,-3.8154162860323526E-10,-6.575701624787392E-5,-1.1055940403304928E-4
6.603086094212985E-4,0,5.840156265236108E-4,9.923768674934793E-11,1.722163965100607E-5,2.9382833794540475E-5
6.0133516428904E-4,3.941979703954143E-4,1.7112165458626452E-4,-3.36242084522005E-10,-5.796731759042172E-5,-9.51489885932164E-5
4.4124607769771405E-4,6.21855656161596E-4,0,-3.8942853218103357E-10,-4.4767799356800715E-5,-6.6593076064169E-5
