% Model,AdvancedModel.mph
% Version,COMSOL 5.5.0.359
% Date,"Sep 8 2024, 18:57"
% Dimension,3
% Nodes,1158
% Expressions,2
% Description,Dependent variable
% Length unit,m
% x,y,z,Tcell (kg/m^3) @ t=0,Tcell (kg/m^3) @ t=0.2
0.001862,0,0.001883,400,399.23272450730906
0.001634,0,0.002157,399.99999999999994,399.22270074836695
0.001248,5.1E-4,0.002047,399.99999999999994,399.21982037504483
0.001257,0,0.002276,399.99999999999994,399.22476581612995
5.12E-4,0.001241,0.002058,399.99999999999994,399.2211486381236
0,0.001257,0.002276,399.99999999999994,399.2069710802743
4.01E-4,9.56E-4,0.00237,399.99999999999994,399.2290021143194
0,9.48E-4,0.002542,399.99999999999994,399.2245653174645
0,6.1E-4,0.002599,399.9999999999999,399.2174600607207
5.5E-4,5.5E-4,0.002318,399.99999999999994,399.2414209205071
6.1E-4,0,0.002599,400,399.2201833495412
9.48E-4,0,0.002542,399.99999999999994,399.24396863248523
9.57E-4,7.11E-4,0.00232,399.99999999999994,399.19800274824416
0.00107,3.79E-4,0.002777,233.3333333333333,233.1714711636542
0.001246,-3.1E-19,0.002729,199.99999999999997,199.8685183295388
8.45E-4,-2.1E-19,0.002878,199.99999999999997,199.84175057695307
0,0.001622,0.002524,199.99999999999997,199.86374976143392
3.7E-4,0.001427,0.002613,233.3333333333333,233.21472666321782
0,0.001246,0.002729,199.99999999999997,199.85369020822733
7.31E-4,0.001567,0.002451,200,199.90623697812512
6.99E-4,0.00123,0.002645,218.18181818181816,218.09774258198755
3.19E-4,0.001081,0.00278,177.77777777777774,177.6936955447622
0,8.45E-4,0.002878,199.99999999999997,199.80840568026284
2.83E-4,4.21E-4,0.002957,199.99999999999997,199.8890433879989
4.27E-4,-1.0E-19,0.002969,199.99999999999997,199.8422580673804
0,4.27E-4,0.002969,199.99999999999997,199.85579900050965
6.99E-4,4.4E-4,0.002884,183.3333333333333,183.27935983491616
3.07E-4,6.92E-4,0.002903,199.99999999999994,199.92816856423607
3.61E-4,0.002787,0.001051,166.66666666666663,166.6223828224848
0,0.002729,0.001246,199.99999999999997,199.8275930276643
3.66E-4,0.002616,0.001423,218.18181818181816,218.0653155805169
0,0.002524,0.001622,199.99999999999997,199.84192109230614
6.92E-4,0.002664,0.001193,199.99999999999997,199.87761225409471
7.2E-4,0.002463,0.001555,200,199.93527226329965
0.002126,3.65E-4,0.002085,181.8181818181818,181.7236552406578
0.002267,-5.6E-19,0.001965,199.99999999999997,199.83876122480072
0.001965,-4.8E-19,0.002267,199.99999999999997,199.82691442611852
0.002383,3.7E-4,0.001784,181.8181818181818,181.75714750869344
0.002524,-6.2E-19,0.001622,199.99999999999997,199.8423570087459
0.002214,7.31E-4,0.001888,200,199.88567194081287
0.002463,7.11E-4,0.001559,171.4285714285714,171.35506728030722
0.001934,7.29E-4,0.002174,218.18181818181816,218.07069309062828
0.002968,3.1E-4,3.12E-4,199.99999999999997,199.91287947201036
0.002969,-7.3E-19,4.27E-4,199.99999999999997,199.86584662289857
0.002969,4.27E-4,0,199.99999999999997,199.83175001032373
0.002787,0.001055,3.47E-4,218.18181818181816,218.0754628527388
0.002878,8.45E-4,0,199.99999999999997,199.86072711227118
0.002901,6.48E-4,4.02E-4,180,179.92145939715354
0.002787,9.09E-4,6.4E-4,155.55555555555551,155.5432106599785
0.002659,0.001215,6.75E-4,222.22222222222217,222.0796394847906
0.002615,3.53E-4,0.001428,184.61538461538458,184.54178329711075
0.002729,-6.7E-19,0.001246,199.99999999999997,199.83481863188436
0.002681,9.6E-4,9.43E-4,199.99999999999994,199.8953916102007
0.002118,0.001086,0.001071,399.99999999999994,399.22148991344557
0.002912,3.26E-4,6.44E-4,199.99999999999994,199.9210282465177
0.002878,-7.1E-19,8.45E-4,199.99999999999997,199.83295569734392
0.002667,6.77E-4,0.001196,181.8181818181818,181.76690459344167
0.002504,0.001026,0.001295,199.99999999999997,199.8849629895902
0.002793,3.4E-4,0.001041,222.22222222222217,222.09220844686683
0.002813,6.37E-4,8.26E-4,199.99999999999997,199.9387021115492
0.002614,0.001429,3.55E-4,184.61538461538458,184.54953990888603
0.002524,0.001622,0,199.99999999999997,199.85241013968604
0.002382,0.001787,3.6E-4,218.18181818181816,218.06449649406056
0.002267,0.001965,0,199.99999999999997,199.84090016440658
0.00246,0.00157,6.96E-4,222.22222222222217,222.09587007293376
0.001045,0.002501,0.001286,160,159.95283093226774
0.001336,0.00249,0.001006,199.99999999999997,199.85956776767776
0.001283,0.002038,9.58E-4,399.99999999999994,399.2105525600314
0.0025,0.001316,0.001009,177.77777777777774,177.71337523817397
0.002261,0.00167,0.001049,199.99999999999994,199.89894217528348
0.002202,0.001908,7.15E-4,222.22222222222217,222.11865447633235
0.001682,0.00166,0.001121,399.9999999999999,399.205464166221
0.001676,0.001063,0.00225,218.18181818181816,218.03972447017455
0.001663,0.001116,0.001652,399.99999999999994,399.2185392637043
0.001994,0.00109,0.001958,199.99999999999997,199.8834821683318
0.001727,0.001416,0.002003,199.99999999999997,199.90664296095258
0.00123,0.001229,0.001714,399.9999999999999,399.2008674510785
0.00174,0.001732,0.001724,254.5454545454545,254.38277530082894
0.001725,0.002018,0.001398,181.8181818181818,181.769430520104
0.001254,0.001677,0.001237,399.99999999999994,399.21152749595655
0.001984,0.001982,0.001066,177.77777777777774,177.65629094849783
0.002022,0.001717,0.001402,199.99999999999997,199.91907808537462
0.001692,0.001227,0.001215,399.99999999999994,399.1892334256783
0.002025,0.001413,0.001703,133.33333333333331,133.32728560227525
0.002286,0.001382,0.001365,199.99999999999994,199.91669586095028
0.00227,0.001068,0.001645,200,199.8952704326698
3.68E-4,0.001782,0.002385,166.66666666666663,166.60573434783396
3.66E-4,0.002391,0.001775,166.66666666666663,166.6283780241317
0,0.002267,0.001965,199.99999999999997,199.81222179454042
3.71E-4,0.002109,0.002101,181.8181818181818,181.74504472896086
7.31E-4,0.002205,0.001898,222.22222222222217,222.11268843481326
7.35E-4,0.001902,0.0022,222.22222222222217,222.1035624744844
9.85E-4,0.001832,0.001561,399.99999999999994,399.2211935429724
0.001396,0.002277,0.001366,199.99999999999994,199.92035338459763
0.001075,0.002263,0.00165,200,199.89349778490802
0.001422,0.002017,0.001706,199.99999999999997,199.86335261611623
0.001083,0.001659,0.002253,266.66666666666663,266.4362717676293
