% Model,gmshModel.mph
% Version,COMSOL 5.5.0.359
% Date,"Aug 30 2024, 21:22"
% Dimension,3
% Nodes,1705
% Expressions,1
% Description,Dependent variable
% Length unit,m
% x,y,z,Tcell (kg/m^3) @ t=0
0.001154,5.89E-4,0,0
7.7E-4,8.5E-4,2.48E-4,0
7.36E-4,0.00101,0,0
8.33E-4,7.44E-4,4.03E-4,0
0.001103,4.97E-4,2.39E-4,0
0.00124,3.91E-4,0,0
0.00137,5.69E-4,0,0
0.001059,9.76E-4,0,0
0.001232,8.07E-4,0,0
0.001507,0,1.62E-4,0
0.001518,1.54E-4,0,0
0.001641,0,0,0
0.001784,2.31E-4,0,0
0.001753,0,2.56E-4,0
0.001927,0,0,0
0.00226,0,0,0
0.002095,2.68E-4,0,0
0.002079,0,2.6E-4,0
2.79E-4,9.58E-4,8.16E-4,0
0,0.001065,7.64E-4,0
0,9.32E-4,9.32E-4,0
4.49E-4,7.62E-4,7.89E-4,0
0,0.001159,9.83E-4,0
0,0.00129,7.64E-4,0
0,0.00117,5.86E-4,0
2.85E-4,0.001151,4.91E-4,0
0,0.001382,5.42E-4,0
6.73E-4,0.001022,2.6E-4,0
8.52E-4,0.001193,0,0
5.37E-4,9.64E-4,3.82E-4,0
3.9E-4,9.76E-4,6.03E-4,0
6.8E-4,8.66E-4,5.04E-4,0
6.7E-4,7.18E-4,6.27E-4,0
6.12E-4,9.69E-4,7.02E-4,0
0.001228,2.86E-4,2.87E-4,0
0.001413,3.52E-4,0,0
0.001009,2.25E-4,6.58E-4,0
0.001458,0,3.83E-4,0
0.001237,0,4.12E-4,0
0.001361,0,5.95E-4,0
0.001153,0,6.01E-4,0
0.001074,4.36E-4,5.36E-4,0
8.94E-4,6.66E-4,5.91E-4,0
0.001148,6.83E-4,3.91E-4,0
0.001264,0,8.14E-4,0
5.52E-4,0,0.001386,0
9.32E-4,0,0.001177,0
0,2.21E-4,0.001768,0
2.31E-4,0,0.001788,0
0,0,0.001927,0
8.11E-4,4.75E-4,7.75E-4,0
0.001014,3.76E-4,8.44E-4,0
0.001128,0,0.001018,0
4.19E-4,4.69E-4,0.001019,0
7.02E-4,3.44E-4,0.001085,0
7.56E-4,0,0.001299,0
6.29E-4,6.82E-4,8.63E-4,0
2.12E-4,5.34E-4,0.001067,0
0,5.85E-4,0.001166,0
0,7.68E-4,0.001066,0
2.35E-4,7.55E-4,9.53E-4,0
0,9.83E-4,0.001177,0
0,5.37E-4,0.001384,0
0,7.71E-4,0.001312,0
3.02E-4,3.12E-4,0.001523,0
0,4.11E-4,0.001599,0
4.21E-4,4.85E-4,0.001265,0
0,7.15E-4,0.001629,0
4.64E-4,0,0.001635,0
3.66E-4,0.001503,3.71E-4,0
0,0.001587,4.34E-4,0
3.94E-4,0.001629,0,0
6.87E-4,0.001507,0,0
0,0.001784,2.31E-4,0
5.46E-4,0.001773,0,0
2.31E-4,0.001784,0,0
0,0.001927,0,0
0,0.001868,5.6E-4,0
6.78E-4,0.001358,3.29E-4,0
8.72E-4,0.001828,0,0
9.05E-4,0.001002,4.18E-4,0
0.001082,0.001461,0,0
0.001041,0.00133,3.38E-4,0
0.001069,0.001197,0,0
0.001285,0.001157,0,0
0.001504,5.43E-4,3.59E-4,0
0.00163,4.89E-4,0,0
0.001502,8.27E-4,0,0
0.001462,9.53E-4,3.92E-4,0
0.001686,0.00113,0,0
0.001911,5.18E-4,0,0
0.001781,8.15E-4,0,0
0.001665,0,5.42E-4,0
0.001916,2.97E-4,3.09E-4,0
0.001933,0,4.8E-4,0
0.002434,0,3.09E-4,0
0.002452,3.11E-4,0,0
0.002645,0,0,0
0.002237,5.58E-4,0,0
0.002199,0,5.87E-4,0
3.54E-4,0.001427,7.43E-4,0
0,0.00158,7.58E-4,0
0,0.001392,9.83E-4,0
0,0.001613,0.001111,0
4.08E-4,0.001275,0.001087,0
0,0.001286,0.001269,0
0,9.92E-4,0.001477,0
0.001324,3.07E-4,7.09E-4,0
0.001554,0,7.93E-4,0
0.001403,0,0.001078,0
0.001752,0,0.001057,0
0.001238,3.5E-4,0.001174,0
8.04E-4,3.33E-4,0.001431,0
7.6E-4,0,0.001565,0
0.001204,0,0.001362,0
9.44E-4,0,0.001422,0
0.001025,0,0.001682,0
0.001584,0,0.00138,0
4.63E-4,0,0.001922,0
3.07E-4,3.23E-4,0.00191,0
7.42E-4,0,0.001865,0
0,4.93E-4,0.001868,0
6.14E-4,0,0.002227,0
2.63E-4,0,0.002096,0
0,2.61E-4,0.002074,0
0,0,0.00226,0
0,3.06E-4,0.002433,0
3.11E-4,0,0.002452,0
0,0,0.002645,0
0,5.76E-4,0.002209,0
3.6E-4,8.15E-4,0.001483,0
5.75E-4,5.6E-4,0.00182,0
0,7.4E-4,0.001974,0
0,9.94E-4,0.001847,0
9.07E-4,3.52E-4,0.00181,0
0.001055,0,0.002042,0
0.001361,0,0.001737,0
0,0.0016,0.001499,0
0,0.001273,0.001668,0
0.002849,0,3.59E-4,0
0.002869,3.54E-4,0,0
0.003093,0,0,0
2.87E-4,0.002052,0,0
0,0.002092,2.68E-4,0
0,0.00226,0,0
3.19E-4,0.002418,0,0
0,0.002448,3.12E-4,0
0,0.002645,0,0
0.001505,0.001507,0,0
0,0.001919,8.87E-4,0
6.13E-4,0.001951,5.89E-4,0
0,0.002205,6.18E-4,0
6.28E-4,0.00214,0,0
0.001087,0.001707,4.78E-4,0
0.00127,0.001872,0,0
0.001033,0.00222,0,0
0.003332,0,4.18E-4,0
0.003357,4.16E-4,0,0
0.003613,0,0,0
0.004217,0,0,0
0.00391,4.9E-4,0,0
0.003902,0,5.09E-4,0
0,3.77E-4,0.002855,0
3.54E-4,0,0.002869,0
0,0,0.003093,0
0,4.43E-4,0.003337,0
4.78E-4,0,0.003368,0
0,0,0.003613,0
0.001818,5.06E-4,5.94E-4,0
0.001892,0,7.39E-4,0
0.002217,0,9.72E-4,0
0.001431,0.001309,6.0E-4,0
0.001986,0.00145,0,0
0.001879,0.001016,4.78E-4,0
0.002088,9.37E-4,0,0
0.002401,5.49E-4,5.62E-4,0
0.002588,7.5E-4,0,0
0.002568,0,6.78E-4,0
7.09E-4,0.001726,0.001309,0
0,0.001952,0.001277,0
0,0.002014,0.001713,0
5.51E-4,0.001178,0.001506,0
0,0.001269,0.00201,0
0.001901,5.7E-4,0.001189,0
0.001998,0,0.001363,0
0.001387,5.75E-4,0.001505,0
0.001803,0,0.00175,0
0.002271,0,0.001732,0
5.1E-4,5.1E-4,0.002404,0
0.001126,0,0.002468,0
6.78E-4,0,0.002605,0
0,6.92E-4,0.002587,0
0,9.86E-4,0.002262,0
0,0.001206,0.0027,0
8.0E-4,0.001056,0.002055,0
0,0.00149,0.002346,0
0.001272,6.1E-4,0.002151,0
0.001516,0,0.002156,0
6.23E-4,0.001639,0.001921,0
0,0.001601,0.001926,0
0,0.002002,0.002247,0
0.001696,0,0.002742,0
0.002384,0,0.00136,0
0.002446,4.8E-4,0.001103,0
0.002708,0,0.001077,0
0.002998,5.0E-4,6.25E-4,0
0.003038,0,7.92E-4,0
0.003163,0,0.001344,0
0.003068,7.11E-4,0,0
5.12E-4,0.002488,5.12E-4,0
7.08E-4,0.00255,0,0
0,0.00262,6.68E-4,0
0,0.002317,0.001008,0
0,0.002866,3.5E-4,0
3.55E-4,0.002841,0,0
0,0.003093,0,0
4.31E-4,0.003345,0,0
0.001764,0.001921,0,0
8.82E-4,0.003018,0,0
0.001369,0.00267,0,0
0.001458,0.002253,0,0
0,0.003043,7.06E-4,0
0,0.002927,0.001108,0
0,0.003353,4.19E-4,0
0,0.003613,0,0
0.002704,0.001081,5.48E-4,0
0.002979,0.001098,0,0
0.002465,0.001281,0,0
0.002833,0.001521,0,0
0.002036,0.001688,6.75E-4,0
0.002412,0.001882,0,0
0,0.002465,0.001449,0
0,0.00311,0.001613,0
6.18E-4,0.002309,0.001102,0
0.001255,0.002117,9.36E-4,0
0.001944,0.002554,0,0
0.003601,5.5E-4,5.65E-4,0
0.003549,0,9.44E-4,0
0.00356,9.53E-4,0,0
0.00455,0,5.89E-4,0
0.004566,6.89E-4,0,0
0.004917,0,0,0
0.004093,9.57E-4,0,0
0.004151,0,0.001132,0
0,4.86E-4,0.003915,0
4.98E-4,0,0.003945,0
0,0,0.004217,0
7.7E-4,7.74E-4,0.00281,0
9.88E-4,0,0.00301,0
0,8.36E-4,0.003039,0
6.69E-4,6.56E-4,0.00365,0
0,9.65E-4,0.003576,0
0.001009,0,0.003657,0
0,0.001432,0.003218,0
0.001468,0,0.00333,0
0,0.001046,0.00419,0
0,5.4E-4,0.004566,0
0.001004,0,0.004275,0
4.92E-4,0,0.004573,0
0,0,0.004917,0
0.002045,0,0.002215,0
0.002758,0,0.00166,0
0.003711,0,0.001641,0
0.002627,0,0.002182,0
0.002805,8.3E-4,0.001597,0
0.003207,0,0.002021,0
9.26E-4,0.002254,0.002095,0
0,0.002484,0.002614,0
0,0.001799,0.002749,0
0,0.002521,0.00197,0
0.002044,9.29E-4,0.001921,0
6.67E-4,0.001479,0.002628,0
0,0.002214,0.003383,0
0,0.001567,0.003823,0
0.002354,0,0.002737,0
0.001767,8.24E-4,0.003107,0
0.001596,0,0.003906,0
0.002026,0,0.003374,0
0.002743,0,0.003397,0
0.005306,5.36E-4,0,0
0.005314,0,6.58E-4,0
0.005731,0,0,0
0.003429,0.001033,9.89E-4,0
0.00373,0.00165,0,0
0.003287,0.0014,0,0
4.86E-4,0.003915,0,0
0,0.003915,4.77E-4,0
0,0.004217,0,0
8.66E-4,0.00292,8.88E-4,0
6.31E-4,0.003613,6.31E-4,0
9.61E-4,0.003565,0,0
0.00149,0.003138,0,0
0.001612,0.002774,7.3E-4,0
0,0.003525,0.001009,0
0.001126,0.004144,0,0
0.002749,0.001848,8.27E-4,0
0.003085,0.001892,0,0
0.003414,0.002382,0,0
0.002772,0.002535,0,0
8.1E-4,0.002818,0.002774,0
0,0.003107,0.002279,0
0,0.003062,0.003052,0
8.42E-4,0.003144,0.001946,0
0,0.003741,0.001834,0
0,0.003782,0.00263,0
0.002364,0.00281,9.16E-4,0
0.002303,0.003324,0,0
0.001483,0.00372,0,0
0.003413,0.003143,0,0
0.002859,0.004064,0,0
0.004552,9.55E-4,0.001008,0
0.004864,0,0.001289,0
0.005593,0,0.001338,0
0.005137,0.001348,0,0
0.004408,0.00148,0,0
0.004392,0,0.001931,0
0,0.001706,0.00451,0
7.67E-4,9.41E-4,0.004577,0
0.001172,0.001201,0.003857,0
0.001664,0,0.00476,0
0,5.98E-4,0.00531,0
6.18E-4,0,0.005325,0
0,0,0.005731,0
0,0.001139,0.004925,0
0.001061,0,0.004916,0
0,7.59E-4,0.006165,0
7.47E-4,0,0.006204,0
0,0,0.006676,0
0.002982,6.72E-4,0.002335,0
0.003073,0,0.00271,0
0.003804,0,0.002472,0
0.003569,0,0.003316,0
0.00364,9.89E-4,0.00207,0
0,0.00183,0.00532,0
0,0.002933,0.003946,0
0.00273,0.001372,0.00307,0
0,0.002163,0.004102,0
0.001371,0.002733,0.003461,0
0.001011,0.002076,0.004465,0
0,0.002491,0.004698,0
0.006162,0,8.05E-4,0
0.006121,8.37E-4,0,0
0.006676,0,0,0
0.002273,0.00112,0.004065,0
0.002302,0,0.004132,0
0.003157,0,0.004207,0
0.002542,0,0.005068,0
0.004648,0,0.002967,0
0.005236,0,0.002069,0
0.00639,0,0.001867,0
0.005855,0,0.002936,0
0.006086,0.001273,0.001294,0
0.003722,0.002081,9.9E-4,0
0.004074,0.002329,0,0
0.004978,0.002217,0,0
0.00592,0.001951,0,0
0.006744,0.00168,0,0
0.004539,0.00318,0,0
5.98E-4,0.004545,0,0
0,0.004597,6.33E-4,0
0,0.004917,0,0
0,0.004211,0.001226,0
7.44E-4,0.005322,0,0
0,0.005365,6.72E-4,0
0,0.005731,0,0
0.00117,0.003818,0.001172,0
0.001394,0.004791,0,0
0.001895,0.004186,0,0
0.003083,0.003284,0.001535,0
0,0.006214,6.66E-4,0
7.88E-4,0.006173,0,0
0,0.006676,0,0
0,0.003746,0.003572,0
0,0.003534,0.004634,0
0.001373,0.003767,0.002532,0
0,0.004475,0.002091,0
0,0.00461,0.003071,0
0.002405,0.004348,0.001107,0
0.002364,0.004882,0,0
0.003926,0.004182,0,0
0.003275,0.00483,0,0
0,9.18E-4,0.007182,0
8.94E-4,0,0.007206,0
0,0,0.007773,0
0.001132,0,0.008304,0
0,0.001066,0.008419,0
0,0,0.009047,0
0.004814,0.001755,0.001747,0
0.001193,0.001184,0.005298,0
0.001529,0,0.005648,0
0,0.001234,0.00567,0
0.001109,0.00112,0.006509,0
0.001574,0,0.006592,0
0,0.001797,0.006393,0
0,0.002905,0.005715,0
0.00277,0,0.006231,0
0,0.001977,0.007707,0
0.002198,0,0.00726,0
0.004197,0.001367,0.003416,0
0.004214,0,0.004052,0
0.00535,0,0.003877,0
0.003687,0,0.005141,0
0.004943,0,0.005035,0
0.001334,0.003302,0.005223,0
0,0.003779,0.006282,0
0,0.003065,0.006988,0
0.003162,0.002102,0.004088,0
0.00213,0.003768,0.003575,0
0.007234,8.59E-4,0,0
0.007198,0,9.21E-4,0
0.007773,0,0,0
0.007689,0,0.002018,0
0.008393,0,0.00103,0
0.00676,0.002734,0,0
0.00841,0.001007,0,0
0.009047,0,0,0
0.007031,0.001945,0.002016,0
0.007685,0.002019,0,0
0.006998,0,0.003007,0
0.007912,0.003569,0,0
0.003256,0.001447,0.005709,0
0.004314,0,0.006254,0
0.005836,0.00154,0.003531,0
0.006373,0,0.003791,0
0.006269,0,0.004822,0
